Geography,Date,Democrat,Republican,Pollster,Sample Size
Maine 2nd,10/20/2024,45%,47%,Axis Research,411
Maine 2nd,10/7/2024,38%,38%,Digital Research,301
Maine 2nd,10/6/2024,47%,45%,Axis Research,401
Maine 2nd,7/25/2024,50%,40%,Axis Research,401
Virginia 2nd,10/20/2024,45%,46%,Christopher Newport University Wason Center for Civic Leadership,800
Georgia 2nd,10/18/2024,51%,40%,Public Policy Polling,400
New Mexico 3rd,10/18/2024,52%,35%,Research & Polling,344
New Mexico 1st,10/18/2024,53%,36%,Research & Polling,360
New Jersey 7th,10/14/2024,44%,46%,Monmouth University Polling Institute,603
Maine 1st,10/7/2024,56%,16%,Digital Research,304
National,10/22/2024,46%,47%,HarrisX,1244
National,10/22/2024,47%,47%,YouGov,1290
National,10/21/2024,47%,45%,Monmouth University Polling Institute,802
National,10/21/2024,47%,44%,YouGov,1186
National,10/18/2024,47%,45%,Suffolk,1000
National,10/16/2024,48%,45%,Emerson,1000
National,10/16/2024,42%,46%,OnMessage Inc.,800
National,10/15/2024,47%,46%,YouGov,1317
National,10/13/2024,51%,49%,HarrisX/Harris Poll,2596
National,10/13/2024,51%,49%,HarrisX/Harris Poll,3145
National,10/11/2024,45%,47%,HarrisX,1622
National,10/10/2024,51%,49%,Marquette Law School,652
National,10/8/2024,45%,46%,co/efficient,2180
National,10/8/2024,47%,47%,Hart/POS,1000
National,10/7/2024,47%,46%,YouGov,1233
National,10/4/2024,47%,44%,YouGov,1032
National,10/4/2024,46%,45%,Noble Predictive Insights,2290
National,10/3/2024,47%,49%,Cygnal,1500
National,10/1/2024,48%,46%,YouGov,1265
National,10/1/2024,47%,46%,Emerson,1000
National,10/1/2024,47%,47%,Marist,1294
National,9/25/2024,50%,45%,Echelon Insights,1005
National,9/24/2024,47%,45%,YouGov,1220
National,9/24/2024,46%,44%,Clarity,1000
National,9/19/2024,41%,46%,OnMessage Inc.,800
National,9/17/2024,47%,45%,Florida Atlantic University/Mainstreet Research,810
National,9/17/2024,47%,43%,YouGov,1445
National,9/17/2024,48%,46%,Hart/POS,1000
National,9/16/2024,50%,50%,HarrisX,1247
National,9/15/2024,48%,47%,Monmouth,803
National,9/13/2024,48%,45%,Data for Progress,1283
National,9/13/2024,48%,44%,YouGov,1089
National,9/13/2024,43%,41%,HarrisX,3018
National,9/10/2024,45%,45%,YouGov,1464
National,9/5/2024,45%,45%,HarrisX/Harris Poll,1155
National,9/5/2024,46%,45%,Marist,1413
National,9/5/2024,46%,44%,OnMessage Inc.,800
National,9/5/2024,47%,48%,Cygnal,1510
National,9/4/2024,48%,44%,Emerson,1000
National,9/4/2024,42%,39%,SurveyMonkey,18123
National,9/3/2024,46%,45%,YouGov,1389
National,9/3/2024,46%,45%,Big Data Poll,3047
National,9/2/2024,48%,46%,Echelon Insights/GBAO,2045
National,9/1/2024,45%,49%,McLaughlin,1778
National,8/28/2024,48%,43%,Suffolk,1000
National,8/28/2024,47%,46%,Fabrizio/GBAO,1500
National,8/28/2024,48%,41%,Clarity,1238
National,8/28/2024,37%,36%,Ipsos,4253
National,8/27/2024,46%,44%,YouGov,1368
National,8/26/2024,45%,42%,YouGov,1200
National,8/25/2024,48%,48%,Echelon Insights,1031
National,8/25/2024,46%,44%,Florida Atlantic University/Mainstreet Research,856
National,8/24/2024,44%,41%,Kaplan Strategies,1190
National,8/21/2024,42%,40%,Bullfinch,1200
National,8/20/2024,47%,43%,YouGov,1371
National,8/15/2024,49%,44%,Data for Progress,6067
National,8/14/2024,48%,46%,Emerson,1000
National,8/13/2024,45%,44%,YouGov,1407
National,8/12/2024,48%,46%,Monmouth,801
National,8/8/2024,46%,47%,Cygnal,1500
National,8/6/2024,45%,44%,YouGov,1413
National,8/4/2024,47%,45%,Marist,1513
National,8/4/2024,44%,47%,Hart/POS,1001
National,8/3/2024,42%,39%,HarrisX,1011
National,8/1/2024,52%,48%,Marquette Law School,683
National,7/31/2024,47%,47%,RMG Research,3000
National,7/30/2024,46%,44%,YouGov,1434
National,7/29/2024,47%,45%,American Pulse,1035
National,7/29/2024,44%,46%,McLaughlin,1000
National,7/28/2024,45%,42%,HarrisX/Harris Poll,1066
National,7/28/2024,44%,44%,Big Data Poll,2919
National,7/27/2024,47%,42%,Florida Atlantic University/Mainstreet Research,952
National,7/26/2024,44%,42%,Clarity,995
National,7/25/2024,46%,48%,Fabrizio/GBAO,1000
National,7/25/2024,44%,45%,HarrisX,2472
National,7/24/2024,44%,49%,OnMessage Inc.,800
National,7/23/2024,44%,44%,YouGov,1155
National,7/22/2024,45%,42%,YouGov,1178
National,7/21/2024,48%,47%,Echelon Insights,982
National,7/21/2024,41%,49%,HarrisX,2169
National,7/21/2024,45%,45%,Florida Atlantic University/Mainstreet Research,711
National,7/19/2024,43%,46%,OnMessage Inc.,800
National,7/16/2024,44%,44%,Emerson,2000
National,7/16/2024,45%,44%,YouGov,1404
National,7/15/2024,41%,42%,HarrisX,1918
National,7/11/2024,43%,44%,Noble Predictive Insights,2295
National,7/11/2024,42%,43%,OnMessage Inc./Tarrance Group,800
National,7/10/2024,46%,44%,Marist,1174
National,7/9/2024,46%,44%,YouGov,1443
National,7/9/2024,47%,46%,Hart/POS,800
National,7/8/2024,44%,43%,Emerson,1370
National,7/8/2024,50%,42%,Expedition Strategies,2300
National,7/3/2024,48%,45%,Split Ticket/Data for Progress,2067
National,7/2/2024,43%,47%,Cygnal,1500
National,7/2/2024,44%,44%,YouGov,1392
National,7/2/2024,43%,46%,Fabrizio/GBAO,1500
National,7/1/2024,44%,44%,NewsNation/Decision Desk HQ,1000
National,7/1/2024,44%,45%,OnMessage Inc.,800
National,6/30/2024,47%,44%,Florida Atlantic University/Mainstreet Research,869
National,6/30/2024,45%,47%,Suffolk,1000
National,6/30/2024,45%,47%,CNN/SSRS,1274
National,6/25/2024,44%,43%,YouGov,1406
National,6/24/2024,44%,48%,McLaughlin,1744
National,6/24/2024,43%,46%,McLaughlin,1000
National,6/24/2024,47%,42%,YouGov,2750
National,6/20/2024,44%,43%,Clarity,1002
National,6/18/2024,45%,44%,YouGov,1396
National,6/18/2024,49%,47%,YouGov Blue,2015
National,6/13/2024,42%,48%,OnMessage Inc.,800
National,6/12/2024,48%,47%,Echelon Insights,1013
National,6/11/2024,44%,44%,YouGov,1399
National,6/10/2024,45%,48%,Monmouth,1034
National,6/9/2024,47%,45%,Big Village,1423
National,6/6/2024,45%,45%,Cygnal,1500
National,6/6/2024,45%,43%,YouGov,1243
National,6/5/2024,43%,45%,Emerson,1000
National,6/4/2024,45%,44%,YouGov,1566
National,6/3/2024,50%,43%,Navigator,812
National,5/30/2024,41%,46%,OnMessage Inc.,800
National,5/29/2024,43%,45%,NewsNation/Decision Desk HQ,1000
National,5/28/2024,44%,42%,YouGov,1547
National,5/23/2024,44%,45%,Emerson,1100
National,5/23/2024,44%,48%,McLaughlin,1000
National,5/23/2024,45%,45%,Marist,1122
National,5/21/2024,46%,42%,YouGov,1560
National,5/21/2024,41%,42%,Bullfinch,1200
National,5/16/2024,41%,48%,OnMessage Inc.,800
National,5/16/2024,44%,46%,Cygnal,1500
National,5/16/2024,45%,49%,Echelon Insights,1023
National,5/15/2024,44%,46%,McLaughlin,1000
National,5/15/2024,50%,50%,Marquette Law School,684
National,5/14/2024,45%,42%,YouGov,1586
National,5/14/2024,45%,48%,McLaughlin,1721
National,5/13/2024,45%,41%,YouGov,1203
National,5/9/2024,48%,47%,RMG Research,2000
National,5/8/2024,42%,41%,Clarity,1076
National,5/7/2024,44%,42%,YouGov,1598
National,5/4/2024,45%,45%,Data for Progress,4923
National,4/30/2024,44%,41%,YouGov,1479
National,4/29/2024,45%,46%,Winston,1000
National,4/28/2024,44%,40%,Florida Atlantic University/Mainstreet Research,851
National,4/23/2024,44%,42%,YouGov,1470
National,4/17/2024,45%,45%,Emerson,1308
National,4/17/2024,42%,44%,NewsNation/Decision Desk HQ,1000
National,4/16/2024,43%,43%,YouGov,1358
National,4/16/2024,46%,47%,Hart/POS,1000
National,4/16/2024,43%,47%,McLaughlin,1000
National,4/15/2024,45%,42%,YouGov,1170
National,4/14/2024,49%,46%,Echelon Insights,1020
National,4/13/2024,44%,46%,OnMessage Inc.,800
National,4/11/2024,42%,42%,Public Opinion Strategies,1000
National,4/10/2024,45%,47%,Cygnal,1500
National,4/9/2024,43%,43%,YouGov,1583
National,4/3/2024,46%,45%,Emerson,1438
National,4/2/2024,44%,41%,YouGov,1604
National,3/29/2024,46%,44%,Data for Progress,1200
National,3/28/2024,44%,45%,UpOne Insights/BSG,1000
National,3/28/2024,44%,42%,Split Ticket,821
National,3/28/2024,49%,51%,Marquette Law School,674
National,3/27/2024,43%,41%,Clarity,1080
National,3/26/2024,44%,42%,YouGov,1415
National,3/26/2024,43%,49%,McLaughlin,1799
National,3/21/2024,49%,46%,Echelon Insights,1006
National,3/19/2024,44%,43%,YouGov,1510
